concept_id,subject_id,chapter_id,section_id,name_ko,definition_preview,formula_count,condition_count,property_count,prerequisite_count,misconception_count,generation_enabled,generation_notes,status,schema_version,content_version,created_at,updated_at
calculus.trigonometric_functions,calculus_1,calc1_ch01_functions_and_models,,삼각함수의 정의역·치역·주기,"tan x=sin x/cos x이며, sin x와 cos x의 정의역은 실수 전체, 치역은 [-1,1], 주기는 2π다. tan x는 cos x=0인 점에서 정의되지 않고 치역은 실수 전체, 주기는 π다. 코시컨트·시컨트·코탄젠트는 각각 사인·코사인·탄젠트의 역수다.",3,1,2,1,2,true,,draft,1.0.0,1,2026-08-01 05:53:04.179073+09:00,2026-08-01 14:27:39.291788+09:00
calculus.continuity,calculus_1,calc1_ch02_limits_and_derivatives,,연속의 정의와 불연속의 유형,"함수 f가 a에서 연속이려면 f(a)가 정의되고, lim f(x)가 존재하며, 그 극한이 f(a)와 같아야 한다. 이 세 조건 중 하나라도 빠지면 a에서 불연속이다.",2,3,4,2,2,true,,draft,1.0.0,1,2026-08-01 05:53:04.179073+09:00,2026-08-01 14:27:39.291788+09:00
calculus.continuous_function_algebra_and_composition,calculus_1,calc1_ch02_limits_and_derivatives,,연속함수의 대수적 성질과 합성함수의 연속,"f와 g가 a에서 연속이고 c가 상수이면 f±g, cf, fg, f/g(g(a)≠0)도 a에서 연속이다. g가 a에서 연속이고 f가 g(a)에서 연속이면 합성함수 f∘g도 a에서 연속이다. 다항식·유리함수·제곱근함수·삼각함수·역삼각함수·지수함수·로그함수는 정의역의 모든 점에서 연속이다.",3,3,2,2,2,true,,draft,1.0.0,1,2026-08-01 05:53:04.179073+09:00,2026-08-01 14:27:39.291788+09:00
calculus.derivative,calculus_1,calc1_ch02_limits_and_derivatives,,함수로서의 도함수와 미분가능성,"고정된 점 a 대신 변수 x에서의 미분계수를 대응시키면 새로운 함수 f'(x)=lim(h→0)[f(x+h)-f(x)]/h를 얻으며, 이를 f의 도함수라 한다. f'(a)가 존재하면 f는 a에서 미분가능하며, 미분가능하면 그 점에서 연속이다(역은 성립하지 않는다).",3,2,3,2,2,true,,draft,1.0.0,1,2026-08-01 05:53:04.179073+09:00,2026-08-01 14:27:39.291788+09:00
calculus.derivative_definition_and_rates_of_change,calculus_1,calc1_ch02_limits_and_derivatives,,미분계수의 정의와 변화율,"a에서 함수 f의 미분계수 f'(a)는 차분몫의 극한 lim(h→0)[f(a+h)-f(a)]/h로 정의되며, 극한이 존재할 때 f는 a에서 미분가능하다고 한다. 미분계수는 접선의 기울기이자 x=a에서의 순간변화율이다.",4,2,4,2,1,true,,draft,1.0.0,1,2026-08-01 05:53:04.179073+09:00,2026-08-01 14:27:39.291788+09:00
calculus.direct_substitution_and_algebraic_limit_techniques,calculus_1,calc1_ch02_limits_and_derivatives,,직접대입성질과 대수적 극한 계산법,f가 다항식이거나 유리함수이고 a가 정의역 안에 있으면 lim f(x)=f(a)로 직접대입해 극한을 구할 수 있다(직접대입성질을 갖는 함수를 그 점에서 연속이라 한다). 직접대입이 안 되는 경우(0/0 부정형 등)에는 인수분해·약분·유리화로 국소적으로 같은 더 간단한 함수로 바꾸어 계산한다.,2,2,2,2,1,true,,draft,1.0.0,1,2026-08-01 05:53:04.179073+09:00,2026-08-01 14:27:39.291788+09:00
calculus.higher_order_derivatives,calculus_1,calc1_ch02_limits_and_derivatives,,고계도함수,"도함수 f'도 함수이므로 다시 미분해 이계도함수 f''을 얻을 수 있고, 이를 반복하면 n계도함수를 얻는다. 위치함수의 일계·이계·삼계도함수는 각각 속도·가속도·저크로 해석된다.",3,1,3,1,2,true,,draft,1.0.0,1,2026-08-01 05:53:04.179073+09:00,2026-08-01 14:27:39.291788+09:00
calculus.infinite_limit_and_vertical_asymptote,calculus_1,calc1_ch02_limits_and_derivatives,,무한극한과 수직점근선,"x가 a에 가까워질 때(단 a 자신은 제외 가능) 함숫값이 한없이 커지거나 작아지면 무한극한이라 한다. lim f(x)=±∞, 또는 한쪽극한이 ±∞인 경우 중 하나라도 성립하면 직선 x=a를 곡선의 수직점근선이라 한다.",2,1,3,1,2,true,,draft,1.0.0,1,2026-08-01 05:53:04.179073+09:00,2026-08-01 14:27:39.291788+09:00
calculus.intermediate_value_theorem,calculus_1,calc1_ch02_limits_and_derivatives,,중간값 정리,"f가 폐구간 [a,b]에서 연속이고 f(a)≠f(b)일 때, N이 f(a)와 f(b) 사이의 어떤 값이면 f(c)=N을 만족하는 c가 개구간 (a,b) 안에 적어도 하나 존재한다.",1,2,3,1,2,true,,draft,1.0.0,1,2026-08-01 05:53:04.179073+09:00,2026-08-01 14:27:39.291788+09:00
calculus.limit_at_infinity_and_horizontal_asymptote,calculus_1,calc1_ch02_limits_and_derivatives,,무한대에서의 극한과 수평점근선,"x를 임의로 크게(또는 임의로 작은 음수로) 할 때 f(x)가 일정한 값 L에 가까워지면 lim f(x)=L(x→±∞)이라 하며, 이때 직선 y=L을 수평점근선이라 한다. x→±∞일 때 함숫값이 한없이 커지거나 작아지면 무한대에서의 무한극한이라 한다.",4,2,5,2,2,true,,draft,1.0.0,1,2026-08-01 05:53:04.179073+09:00,2026-08-01 14:27:39.291788+09:00
calculus.limit_definition,calculus_1,calc1_ch02_limits_and_derivatives,,함수의 극한,"x가 a에 가까워질 때(단 x≠a) f(x)가 어느 방향에서 접근하든 L에 가까워지면, x가 a에 접근할 때 f(x)의 극한은 L이라 한다. f(a)가 정의될 필요는 없으며, a 근방에서 f가 어떻게 정의되어 있느냐만 문제가 된다.",1,2,3,1,2,true,,draft,1.0.0,1,2026-08-01 05:53:04.179073+09:00,2026-08-01 14:27:39.291788+09:00
calculus.limit_laws,calculus_1,calc1_ch02_limits_and_derivatives,,극한법칙,"lim f(x)=L, lim g(x)=M이 모두 존재할 때, 두 함수의 합·차·상수배·곱·몫·거듭제곱·근호로 만든 새로운 함수의 극한을 개별 극한으로부터 계산할 수 있다는 법칙들이다.",5,4,1,2,2,true,,draft,1.0.0,1,2026-08-01 05:53:04.179073+09:00,2026-08-01 14:27:39.291788+09:00
calculus.one_sided_limit,calculus_1,calc1_ch02_limits_and_derivatives,,좌극한과 우극한,"x가 a보다 작으면서 a에 가까워질 때 f(x)가 L에 가까워지면 좌극한, a보다 크면서 가까워질 때 L에 가까워지면 우극한이라 한다. 양쪽극한은 좌극한과 우극한이 모두 존재하고 서로 같을 때만 존재한다.",3,1,2,1,1,true,,draft,1.0.0,1,2026-08-01 05:53:04.179073+09:00,2026-08-01 14:27:39.291788+09:00
calculus.squeeze_theorem,calculus_1,calc1_ch02_limits_and_derivatives,,조임정리,"a 근방(a 자신은 제외 가능)에서 f(x)≤g(x)≤h(x)이고 x→a일 때 f와 h의 극한이 모두 L로 같으면, g도 a에서 같은 극한 L을 갖는다는 정리다. 샌드위치정리 또는 압축정리라고도 한다.",1,2,1,1,1,true,,draft,1.0.0,1,2026-08-01 05:53:04.179073+09:00,2026-08-01 14:27:39.291788+09:00
calculus.tangent_and_velocity_problem,calculus_1,calc1_ch02_limits_and_derivatives,,접선 문제와 속도 문제,"곡선 위의 두 점을 지나는 할선의 기울기를 구하고, 한 점을 다른 점에 한없이 가까워지게 하여 할선 기울기의 극한으로 접선의 기울기를 정의한다. 위치함수의 평균속도를 같은 방식으로 극한을 취하면 순간속도가 된다 — 두 문제는 수학적으로 동일한 극한 계산 구조를 갖는다.",5,2,3,2,2,true,,draft,1.0.0,1,2026-08-01 05:53:04.179073+09:00,2026-08-01 14:27:39.291788+09:00
calculus.chain_rule,calculus_1,calc1_ch03_differentiation_rules,,연쇄법칙,"y=f(u), u=g(x)일 때 합성함수 F=f∘g의 도함수는 F'(x)=f'(g(x))·g'(x)이다. 외부함수를 내부함수에서 계산한 값에 도함수를 취하고, 내부함수의 도함수를 곱하는 방식으로 계산한다.",3,1,3,2,3,true,,draft,1.0.0,1,2026-08-01 05:53:04.179073+09:00,2026-08-01 14:27:39.291788+09:00
calculus.exponential_derivative,calculus_1,calc1_ch03_differentiation_rules,,지수함수의 도함수와 수 e,"지수함수 f(x)=b^x의 도함수를 정의로부터 구하면 f'(x)=f'(0)b^x가 되어 변화율이 함수 자신에 비례함을 알 수 있다. e는 f'(0)=1이 되도록 선택한 밑이며, 이때 (e^x)'=e^x가 된다.",4,2,3,2,1,true,,draft,1.0.0,1,2026-08-01 05:53:04.179073+09:00,2026-08-01 14:27:39.291788+09:00
calculus.hyperbolic_functions,calculus_1,calc1_ch03_differentiation_rules,,쌍곡선함수,"지수함수 e^x, e^{-x}를 결합해 정의되는 함수들로, 삼각함수와 유사한 항등식·미분공식을 가지며 점 (cosh t, sinh t)가 쌍곡선 x^2-y^2=1 위에 있다는 점에서 이름 붙여졌다.",5,3,4,2,2,true,,draft,1.0.0,1,2026-08-01 05:53:04.179073+09:00,2026-08-01 14:27:39.291788+09:00
calculus.implicit_differentiation,calculus_1,calc1_ch03_differentiation_rules,,음함수 미분법,"F(x,y)=0 형태로 y가 x에 대해 명시적으로 풀리지 않은 방정식에서, y를 x의 미분가능한 함수로 보고 방정식 양변을 x에 관해 미분한 뒤 dy/dx에 대해 정리하는 방법이다.",3,1,3,2,2,true,,draft,1.0.0,1,2026-08-01 05:53:04.179073+09:00,2026-08-01 14:27:39.291788+09:00
calculus.inverse_trig_derivatives,calculus_1,calc1_ch03_differentiation_rules,,역함수의 미분법과 역삼각함수의 도함수,"일대일이고 미분가능한 함수의 역함수는(수직접선을 갖는 점을 제외하고) 미분가능하며, f'(f^{-1}(x))≠0일 때 (f^{-1})'(x)=1/f'(f^{-1}(x))이다. 이 원리를 sin, cos, tan 등에 적용하면 역삼각함수의 도함수를 얻는다.",4,3,1,2,2,true,,draft,1.0.0,1,2026-08-01 05:53:04.179073+09:00,2026-08-01 14:27:39.291788+09:00
